# FILE: /volumes/data1/swisstopo/LEAG8403.A1.InputData/LEAG8403-COORDINATES SP.pdf
# VER:  p1 revised completely; p2-p6 format fix only
# PAGE: p01 (rev 16/4/2023)
232 898474.8 218985.4 888 233 835485.8 218988.9 887
234 898448.5 217859.5 888 235 898429.7 217188.5 885
236 838414.9 217255.2 884 237 898414.9 217284.9 889
238 898418.7 217254.7 882 239 898419.1 217984.5 881
240 898421.5 217354.3 888 242 898429.8 217484.1 888
243 888428.9 217454.8 859 244 898427.5 217478.9 858
245 898491.8 217553.8 857 246 838492.2 217578.5 858
247 898499.4 217889.4 858 248 898494.8 217828.9 858
249 888437.7 217852.9 858 250 838551.7 217887.7 854
251 838588.4 217887.9 854 252 835578.8 217999.8 854
253 838598.8 217991.2 854 254 838888.8 217959.8 859
255 888832.2 217999.9 852 256 898858.8 218889.2 851
257 898875.8 218882.5 849 258 836587.3 218184.8 858
259 898897.8 218127.5 858 260 838788.8 218149.7 858
261 638848.9 218988.7 783 262 888855.5 218471.9 789
263 838848.5 218495.4 784 264 838832.8 218454.3 784
265 838875.4 218472.4 784 266 898797.9 218489.5 788
267 888778.4 219585.8 782 268 888748.8 218545.1 781
269 898715.8 218581.8 782 270 898879.4 248815.7 788
271 838859.7 218881.8 784 272 898887.2 218789.9 788
273 888882.1 218733.8 887 274 898879.7 218754.7 898
275 838891.2 218771.8 895 276 898718.5 218788.5 894
277 888884.8 218888.9 899 278 888891.9 218988.8 892
279 838892.9 218989.2 898 280 538897.8 278958.8 887
281 898889.4 219255.8 888 282 898888.1 219279.9 887
283 838872.5 219888.9 888 284 898858.9 219319.3 885
285 898829.8 219857.4 884 286 898784.9 219888.1 889
287 888744.7 219417.9 887 288 838728.9 219459.2 858
289 898711.9 219588.1 858 290 898789.1 219557.9 854
291 898894.8 219888.5 851 292 898888.8 249855.7 849
293 888885.8 219784.8 848 294 898898.9 219759.9 848
295 898712.4 219888.8 848 296 838721.7 219849.8 848
297 898728.9 249899.9 845 298 898722.7 249948.9 844
299 898728.2 219998.5 842 300 828791.4 228848.1 842
# PAGE: p04
301 999294.9 229999.9 541 305 999293.9 229142.2 999
306 999741.4 229192.9 995 307 999749.9 229222.2 999
308 599745.2 229242.1 999 309 999247.1 229222.9 929
